DELETE board;

INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목1', '본문1', '작성자아이디1', '작성자닉네임1' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목52', '본문52', '작성자아이디52', '작성자닉네임52' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목53', '본문53', '작성자아이디53', '작성자닉네임53' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목54', '본문54', '작성자아이디54', '작성자닉네임54' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목55', '본문55', '작성자아이디55', '작성자닉네임55' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목56', '본문56', '작성자아이디56', '작성자닉네임56' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목57', '본문57', '작성자아이디57', '작성자닉네임57' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목58', '본문58', '작성자아이디58', '작성자닉네임58' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목59', '본문59', '작성자아이디59', '작성자닉네임59' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목60', '본문60', '작성자아이디60', '작성자닉네임60' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목61', '본문61', '작성자아이디61', '작성자닉네임61' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목62', '본문62', '작성자아이디62', '작성자닉네임62' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목63', '본문63', '작성자아이디63', '작성자닉네임63' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목64', '본문64', '작성자아이디64', '작성자닉네임64' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목65', '본문65', '작성자아이디65', '작성자닉네임65' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목66', '본문66', '작성자아이디66', '작성자닉네임66' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목67', '본문67', '작성자아이디67', '작성자닉네임67' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목68', '본문68', '작성자아이디68', '작성자닉네임68' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목69', '본문69', '작성자아이디69', '작성자닉네임69' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목70', '본문70', '작성자아이디70', '작성자닉네임70' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목71', '본문71', '작성자아이디71', '작성자닉네임71' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목72', '본문72', '작성자아이디72', '작성자닉네임72' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목73', '본문73', '작성자아이디73', '작성자닉네임73' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목74', '본문74', '작성자아이디74', '작성자닉네임74' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목75', '본문75', '작성자아이디75', '작성자닉네임75' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목76', '본문76', '작성자아이디76', '작성자닉네임76' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목77', '본문77', '작성자아이디77', '작성자닉네임77' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목78', '본문78', '작성자아이디78', '작성자닉네임78' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목79', '본문79', '작성자아이디79', '작성자닉네임79' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목80', '본문80', '작성자아이디80', '작성자닉네임80' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목81', '본문81', '작성자아이디81', '작성자닉네임81' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목82', '본문82', '작성자아이디82', '작성자닉네임82' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목83', '본문83', '작성자아이디83', '작성자닉네임83' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목84', '본문84', '작성자아이디84', '작성자닉네임84' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목85', '본문85', '작성자아이디85', '작성자닉네임85' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목86', '본문86', '작성자아이디86', '작성자닉네임86' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목87', '본문87', '작성자아이디87', '작성자닉네임87' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목88', '본문88', '작성자아이디88', '작성자닉네임88' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목89', '본문89', '작성자아이디89', '작성자닉네임89' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목90', '본문90', '작성자아이디90', '작성자닉네임90' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목91', '본문91', '작성자아이디91', '작성자닉네임91' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목92', '본문92', '작성자아이디92', '작성자닉네임92' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목93', '본문93', '작성자아이디93', '작성자닉네임93' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목94', '본문94', '작성자아이디94', '작성자닉네임94' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목95', '본문95', '작성자아이디95', '작성자닉네임95' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목96', '본문96', '작성자아이디96', '작성자닉네임96' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목97', '본문97', '작성자아이디97', '작성자닉네임97' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목98', '본문98', '작성자아이디98', '작성자닉네임98' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목99', '본문99', '작성자아이디99', '작성자닉네임99' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목100', '본문100', '작성자아이디100', '작성자닉네임100' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목101', '본문101', '작성자아이디101', '작성자닉네임101' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목102', '본문102', '작성자아이디102', '작성자닉네임102' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목103', '본문103', '작성자아이디103', '작성자닉네임103' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목104', '본문104', '작성자아이디104', '작성자닉네임104' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목105', '본문105', '작성자아이디105', '작성자닉네임105' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목106', '본문106', '작성자아이디106', '작성자닉네임106' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목107', '본문107', '작성자아이디107', '작성자닉네임107' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목108', '본문108', '작성자아이디108', '작성자닉네임108' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목109', '본문109', '작성자아이디109', '작성자닉네임109' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목110', '본문110', '작성자아이디110', '작성자닉네임110' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목111', '본문111', '작성자아이디111', '작성자닉네임111' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목112', '본문112', '작성자아이디112', '작성자닉네임112' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목113', '본문113', '작성자아이디113', '작성자닉네임113' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목114', '본문114', '작성자아이디114', '작성자닉네임114' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목115', '본문115', '작성자아이디115', '작성자닉네임115' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목116', '본문116', '작성자아이디116', '작성자닉네임116' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목117', '본문117', '작성자아이디117', '작성자닉네임117' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목118', '본문118', '작성자아이디118', '작성자닉네임118' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목119', '본문119', '작성자아이디119', '작성자닉네임119' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목120', '본문120', '작성자아이디120', '작성자닉네임120' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목121', '본문121', '작성자아이디121', '작성자닉네임121' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목122', '본문122', '작성자아이디122', '작성자닉네임122' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목123', '본문123', '작성자아이디123', '작성자닉네임123' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목124', '본문124', '작성자아이디124', '작성자닉네임124' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목125', '본문125', '작성자아이디125', '작성자닉네임125' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목126', '본문126', '작성자아이디126', '작성자닉네임126' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목127', '본문127', '작성자아이디127', '작성자닉네임127' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목128', '본문128', '작성자아이디128', '작성자닉네임128' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목129', '본문129', '작성자아이디129', '작성자닉네임129' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목130', '본문130', '작성자아이디130', '작성자닉네임130' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목131', '본문131', '작성자아이디131', '작성자닉네임131' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목132', '본문132', '작성자아이디132', '작성자닉네임132' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목133', '본문133', '작성자아이디133', '작성자닉네임133' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목134', '본문134', '작성자아이디134', '작성자닉네임134' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목135', '본문135', '작성자아이디135', '작성자닉네임135' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목136', '본문136', '작성자아이디136', '작성자닉네임136' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목137', '본문137', '작성자아이디137', '작성자닉네임137' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목138', '본문138', '작성자아이디138', '작성자닉네임138' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목139', '본문139', '작성자아이디139', '작성자닉네임139' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목140', '본문140', '작성자아이디140', '작성자닉네임140' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목141', '본문141', '작성자아이디141', '작성자닉네임141' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목142', '본문142', '작성자아이디142', '작성자닉네임142' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목143', '본문143', '작성자아이디143', '작성자닉네임143' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목144', '본문144', '작성자아이디144', '작성자닉네임144' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목145', '본문145', '작성자아이디145', '작성자닉네임145' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목146', '본문146', '작성자아이디146', '작성자닉네임146' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목147', '본문147', '작성자아이디147', '작성자닉네임147' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목148', '본문148', '작성자아이디148', '작성자닉네임148' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목149', '본문149', '작성자아이디149', '작성자닉네임149' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목150', '본문150', '작성자아이디150', '작성자닉네임150' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목151', '본문151', '작성자아이디151', '작성자닉네임151' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목152', '본문152', '작성자아이디152', '작성자닉네임152' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목153', '본문153', '작성자아이디153', '작성자닉네임153' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목154', '본문154', '작성자아이디154', '작성자닉네임154' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목155', '본문155', '작성자아이디155', '작성자닉네임155' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목156', '본문156', '작성자아이디156', '작성자닉네임156' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목157', '본문157', '작성자아이디157', '작성자닉네임157' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목158', '본문158', '작성자아이디158', '작성자닉네임158' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목159', '본문159', '작성자아이디159', '작성자닉네임159' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목160', '본문160', '작성자아이디160', '작성자닉네임160' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목161', '본문161', '작성자아이디161', '작성자닉네임161' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목162', '본문162', '작성자아이디162', '작성자닉네임162' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목163', '본문163', '작성자아이디163', '작성자닉네임163' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목164', '본문164', '작성자아이디164', '작성자닉네임164' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목165', '본문165', '작성자아이디165', '작성자닉네임165' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목166', '본문166', '작성자아이디166', '작성자닉네임166' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목167', '본문167', '작성자아이디167', '작성자닉네임167' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목168', '본문168', '작성자아이디168', '작성자닉네임168' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목169', '본문169', '작성자아이디169', '작성자닉네임169' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목170', '본문170', '작성자아이디170', '작성자닉네임170' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목171', '본문171', '작성자아이디171', '작성자닉네임171' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목172', '본문172', '작성자아이디172', '작성자닉네임172' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목173', '본문173', '작성자아이디173', '작성자닉네임173' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목174', '본문174', '작성자아이디174', '작성자닉네임174' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목175', '본문175', '작성자아이디175', '작성자닉네임175' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목176', '본문176', '작성자아이디176', '작성자닉네임176' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목177', '본문177', '작성자아이디177', '작성자닉네임177' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목178', '본문178', '작성자아이디178', '작성자닉네임178' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목179', '본문179', '작성자아이디179', '작성자닉네임179' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목180', '본문180', '작성자아이디180', '작성자닉네임180' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목181', '본문181', '작성자아이디181', '작성자닉네임181' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목182', '본문182', '작성자아이디182', '작성자닉네임182' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목183', '본문183', '작성자아이디183', '작성자닉네임183' );
